,album_id,album_name,album_type,total_tracks,release_date,release_date_precision,artist_id,artist_name
0,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",album,21,2002-01-01,year,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
1,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,album,12,1997-10-07,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
2,2QMZRtm35gtG3ZJs0yl9EM,Raio X do Brasil,album,13,1993-01-01,year,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
3,1hqniVJju4Nj9qGJR2ZeIR,Mil Faces de um Homem Leal (Marighella),single,1,2017-11-03,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
4,1CYfSGAq6xQNF5V8CAeP7m,Cores & Valores,album,15,2014-11-26,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
5,4QvlTHd5GdQje8nxm9Bude,1000 Trutas 1000 Tretas (Ao Vivo),album,14,2006-01-01,year,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
6,3RwDSMSj82TPDkKMnamGeZ,Raio X do Brasil,album,8,1993-07-10,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
7,5xQx7NRZ0P9s03owKob8iP,Holocausto Urbano,single,6,1990-10-07,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
8,4wtgvCPdYPKF8yYPmRiW6a,Escolha o Seu Caminho,single,4,1992-10-07,day,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
9,1nuZiJrGdPaY7PPFHdN746,Racionais Ao Vivo,album,15,2002-01-01,year,29CQLw9uLWsl8Qkz9holfr,Racionais MC's
10,46hG1VAPVaqyWRsBhE5T8W,Consciência Black - Vol. I,compilation,8,1989-04-15,day,0LyfQWJT6nXafLPZqxe9Of,Various Artists
11,57PWjWHzqzODblomXxnQca,O Glorioso Retorno de Quem Nunca Esteve Aqui,album,14,2013-01-01,year,2d9LRvQJnAXRijqIJDDs2K,Emicida
12,1NnQYrdDbqZxzTsNaQuDl9,Bonjour,single,1,2015-02-23,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
13,22ltKhPdKZ4IuFrna73xPG,AmarElo,album,11,2019-10-30,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
14,593RZfvtz4IAPWZpELwqDB,"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",album,14,2015-08-07,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
15,07yciL9GEXXT0kEzFEsKlt,Sobe junto,single,1,2022-02-11,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
16,0ucGkC2GM4IBycOIAw9eBj,É tudo pra ontem,single,1,2020-12-10,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
17,0sVRD9qXjjQIy9E6GY6XIY,Hacia El Amor (Acústico),single,1,2019-08-27,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
18,1Mxg6MjeUTzYwjchfxAZzy,São Pixinguinha - A COLORS SHOW,single,1,2021-12-02,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
19,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,album,18,2010-09-15,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
20,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,album,25,2009-05-01,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
21,4oCvS1pR4gLyerGSiRoYwG,Quem tem um amigo (tem tudo),single,3,2020-05-07,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
22,5531Q6ELSF96I2DG5ECnPY,Mil Coisas,single,1,2019-05-27,day,2d9LRvQJnAXRijqIJDDs2K,Emicida
