,track_id,track_name,track_popularity,artist_id,artist_name,album_id,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4nTrxp4aH0g2yLVPkFmljF,"Vida Loka, Pt. 2",64,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.655,0.653,1,-7.2,0,0.273,0.133,0.00813,0.203,0.433,82.1,350560,4
1,6m8AgjfI28ER6odzMxmHtR,"Vida Loka, Pt. 1",65,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.569,0.592,4,-8.557,1,0.39,0.544,0.0,0.79,0.752,82.38,303560,4
2,3ytXzEJFeVydFfmUhHvti8,Negro Drama,64,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.858,0.733,7,-7.292,0,0.305,0.275,0.0,0.152,0.801,157.38,411867,4
3,5wZUvwWGKaZ6NG8yckZcTM,Jesus Chorou,63,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.796,0.824,11,-5.448,0,0.355,0.155,2.47e-05,0.355,0.75,167.926,471253,4
4,4mZu6NuOntvYZqCZPrxTqT,A Vida É Desafio,61,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.702,0.918,0,-5.352,1,0.416,0.81,0.0,0.203,0.555,151.42,433200,4
5,7wglwZzZoWUr8sOECwpu6L,Diário de um Detento,61,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,0.903,0.526,10,-10.069,0,0.334,0.603,0.0,0.0973,0.766,87.005,451000,4
6,77ZXEJcwC7r4gfodNwERJz,Da Ponte pra Cá,61,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.742,0.728,10,-5.563,0,0.608,0.107,0.0,0.0848,0.695,79.921,527360,4
7,6Wt61AZLG0bN2KasopE2sj,"Capítulo 4, Versículo 3",60,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,0.625,0.515,8,-9.187,0,0.415,0.0269,0.0,0.0839,0.903,87.841,486560,4
8,2tR8iLdCeYhVcyPZvN6T7X,Estilo Cachorro,60,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.819,0.721,1,-4.295,1,0.344,0.483,0.0,0.188,0.728,86.042,377613,4
9,33UECsx4DcDRampb2ah316,Eu Sou 157,60,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.904,0.605,10,-5.873,0,0.279,0.15,0.0,0.0684,0.749,85.983,529733,4
10,10CaXTAohMFQeFWZGfnGyC,Homem na Estrada,54,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,2QMZRtm35gtG3ZJs0yl9EM,Raio X do Brasil,0.746,0.517,7,-14.511,1,0.304,0.299,0.0,0.733,0.869,155.04,521827,4
11,5G1T3Cj4vP7uiGMUb278ut,Sou + Você,54,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.603,0.687,4,-9.872,0,0.738,0.927,0.0,0.65,0.321,110.187,108427,3
12,4QsfSMCOEmTbPzHCCLbhgr,Formula Mágica de Paz,54,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,0.633,0.586,6,-9.045,1,0.183,0.646,2.17e-06,0.854,0.89,73.31,639560,4
13,63piuNbKgyASwtlj3kq4ye,Tô Ouvindo Alguém Me Chamar,53,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,0.755,0.724,11,-8.862,1,0.27,0.582,0.0,0.244,0.751,83.813,672773,4
14,6CI6QHlg9ejvkWOTOni5oX,Expresso da Meia-Noite,53,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.821,0.457,1,-7.341,1,0.42,0.139,0.0,0.152,0.0944,85.593,321547,4
15,6G6FR1CEiuwkEbp33ryGAY,Mágico de Oz,53,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,1UzrzuOmZfBgXyS3pgKD10,Sobrevivendo no Inferno,0.575,0.634,6,-7.079,0,0.36,0.461,0.0,0.3,0.783,79.316,456840,4
16,0VQ1mXWqoXynNmc0wdligL,"1 por Amor, 2 por Dinheiro",52,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.842,0.686,10,-4.52,0,0.359,0.142,0.0,0.377,0.81,92.984,418560,4
17,29JxbOQf5YFFpqWgNauToo,Crime Vai e Vem,51,29CQLw9uLWsl8Qkz9holfr,Racionais MC's,4HcPzKyKVtcZCwJgesoZWn,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",0.592,0.683,1,-6.509,1,0.414,0.378,0.0,0.657,0.87,83.459,475773,1
